CodigoVariable,Fecha,CodigoDuracion,UnidadMedida,Version,Valor
PPBO,2025-07-01,P1D,COP/kWh,TXR,105.4882
PPBOGReal,2025-07-01,P1D,COP/kWh,TXR,105.6154
PPBO,2025-07-01,P1D,COP/kWh,TX2,100.8845
PPBOGReal,2025-07-01,P1D,COP/kWh,TX2,101.0114
PPBOGReal,2025-07-01,P1D,COP/kWh,TX1,101.0124
PPBOGReal,2025-07-02,P1D,COP/kWh,TX2,125.3041
PPBO,2025-07-02,P1D,COP/kWh,TXR,125.8121
PPBO,2025-07-02,P1D,COP/kWh,TX2,121.2055
PPBOGReal,2025-07-02,P1D,COP/kWh,TX1,125.3223
PPBOGReal,2025-07-02,P1D,COP/kWh,TXR,129.9107
PPBOGReal,2025-07-03,P1D,COP/kWh,TX1,113.2244
PPBO,2025-07-03,P1D,COP/kWh,TX2,109.036
PPBOGReal,2025-07-03,P1D,COP/kWh,TX2,109.7424
PPBO,2025-07-03,P1D,COP/kWh,TXR,113.6461
PPBOGReal,2025-07-03,P1D,COP/kWh,TXR,114.3523
PPBO,2025-07-04,P1D,COP/kWh,TXR,114.4187
PPBOGReal,2025-07-04,P1D,COP/kWh,TXR,114.9484
PPBO,2025-07-04,P1D,COP/kWh,TX2,109.8097
PPBOGReal,2025-07-04,P1D,COP/kWh,TX2,110.3396
PPBOGReal,2025-07-04,P1D,COP/kWh,TX1,109.9423
PPBO,2025-07-05,P1D,COP/kWh,TXR,109.1222
PPBOGReal,2025-07-05,P1D,COP/kWh,TXR,109.3637
PPBOGReal,2025-07-05,P1D,COP/kWh,TX2,104.2665
PPBOGReal,2025-07-05,P1D,COP/kWh,TX1,104.2839
PPBO,2025-07-05,P1D,COP/kWh,TX2,104.0403
PPBO,2025-07-06,P1D,COP/kWh,TX2,103.6503
PPBOGReal,2025-07-06,P1D,COP/kWh,TX2,103.6504
PPBO,2025-07-06,P1D,COP/kWh,TXR,108.2774
PPBOGReal,2025-07-06,P1D,COP/kWh,TX1,103.9619
PPBOGReal,2025-07-06,P1D,COP/kWh,TXR,108.2775
PPBOGReal,2025-07-07,P1D,COP/kWh,TX1,130.6811
PPBO,2025-07-07,P1D,COP/kWh,TX2,130.6807
PPBOGReal,2025-07-07,P1D,COP/kWh,TX2,130.6858
PPBO,2025-07-07,P1D,COP/kWh,TXR,135.2845
PPBOGReal,2025-07-07,P1D,COP/kWh,TXR,135.2907
PPBOGReal,2025-07-08,P1D,COP/kWh,TXR,156.5343
PPBO,2025-07-08,P1D,COP/kWh,TXR,149.241
PPBOGReal,2025-07-08,P1D,COP/kWh,TX2,151.943
PPBOGReal,2025-07-08,P1D,COP/kWh,TX1,150.439
PPBO,2025-07-08,P1D,COP/kWh,TX2,144.6512
PPBOGReal,2025-07-09,P1D,COP/kWh,TX2,184.5922
PPBOGReal,2025-07-09,P1D,COP/kWh,TXR,189.1875
PPBO,2025-07-09,P1D,COP/kWh,TXR,176.5736
PPBOGReal,2025-07-09,P1D,COP/kWh,TX1,182.0803
PPBO,2025-07-09,P1D,COP/kWh,TX2,172.0003
PPBO,2025-07-10,P1D,COP/kWh,TXR,170.7026
PPBOGReal,2025-07-10,P1D,COP/kWh,TXR,172.55
PPBO,2025-07-10,P1D,COP/kWh,TX2,166.0872
PPBOGReal,2025-07-10,P1D,COP/kWh,TX2,167.7882
PPBOGReal,2025-07-10,P1D,COP/kWh,TX1,167.7949
PPBOGReal,2025-07-11,P1D,COP/kWh,TX2,138.1412
PPBO,2025-07-11,P1D,COP/kWh,TX2,135.6789
PPBOGReal,2025-07-11,P1D,COP/kWh,TX1,138.1298
PPBO,2025-07-11,P1D,COP/kWh,TXR,140.8515
PPBOGReal,2025-07-11,P1D,COP/kWh,TXR,143.364
PPBOGReal,2025-07-12,P1D,COP/kWh,TX2,118.6606
PPBOGReal,2025-07-12,P1D,COP/kWh,TX1,118.7957
PPBOGReal,2025-07-12,P1D,COP/kWh,TXR,123.2813
PPBO,2025-07-12,P1D,COP/kWh,TXR,122.0827
PPBO,2025-07-12,P1D,COP/kWh,TX2,117.4623
PPBO,2025-07-13,P1D,COP/kWh,TX2,114.5602
PPBOGReal,2025-07-13,P1D,COP/kWh,TX2,115.22
PPBOGReal,2025-07-13,P1D,COP/kWh,TX1,113.6601
PPBO,2025-07-13,P1D,COP/kWh,TXR,118.127
PPBOGReal,2025-07-13,P1D,COP/kWh,TXR,118.6053
PPBO,2025-07-14,P1D,COP/kWh,TX2,105.7967
PPBOGReal,2025-07-14,P1D,COP/kWh,TX2,105.8981
PPBOGReal,2025-07-14,P1D,COP/kWh,TXR,110.4937
PPBOGReal,2025-07-14,P1D,COP/kWh,TX1,105.8899
PPBO,2025-07-14,P1D,COP/kWh,TXR,110.3923
PPBOGReal,2025-07-15,P1D,COP/kWh,TX2,132.2268
PPBO,2025-07-15,P1D,COP/kWh,TXR,130.5129
PPBOGReal,2025-07-15,P1D,COP/kWh,TXR,133.3212
PPBO,2025-07-15,P1D,COP/kWh,TX2,128.9532
PPBOGReal,2025-07-15,P1D,COP/kWh,TX1,128.7274
PPBOGReal,2025-07-16,P1D,COP/kWh,TX2,128.4869
PPBO,2025-07-16,P1D,COP/kWh,TXR,130.0812
PPBOGReal,2025-07-16,P1D,COP/kWh,TXR,132.7932
PPBOGReal,2025-07-16,P1D,COP/kWh,TX1,128.4885
PPBO,2025-07-16,P1D,COP/kWh,TX2,125.7252
PPBO,2025-07-17,P1D,COP/kWh,TX2,117.0223
PPBOGReal,2025-07-17,P1D,COP/kWh,TX1,118.074
PPBO,2025-07-17,P1D,COP/kWh,TXR,121.5391
PPBOGReal,2025-07-17,P1D,COP/kWh,TXR,122.77
PPBOGReal,2025-07-17,P1D,COP/kWh,TX2,118.1611
PPBO,2025-07-18,P1D,COP/kWh,TXR,141.6375
PPBOGReal,2025-07-18,P1D,COP/kWh,TXR,146.3257
PPBO,2025-07-18,P1D,COP/kWh,TX2,137.4944
PPBOGReal,2025-07-18,P1D,COP/kWh,TX2,142.2642
PPBOGReal,2025-07-18,P1D,COP/kWh,TX1,142.2689
PPBOGReal,2025-07-19,P1D,COP/kWh,TX1,106.8311
PPBOGReal,2025-07-19,P1D,COP/kWh,TX2,106.8288
PPBO,2025-07-19,P1D,COP/kWh,TX2,106.4256
PPBOGReal,2025-07-19,P1D,COP/kWh,TXR,111.4474
PPBO,2025-07-19,P1D,COP/kWh,TXR,111.0442
PPBOGReal,2025-07-20,P1D,COP/kWh,TXR,110.4039
PPBOGReal,2025-07-20,P1D,COP/kWh,TX1,105.7793
PPBOGReal,2025-07-20,P1D,COP/kWh,TX2,105.7909
PPBO,2025-07-20,P1D,COP/kWh,TX2,105.0288
PPBO,2025-07-20,P1D,COP/kWh,TXR,109.6422
PPBO,2025-07-21,P1D,COP/kWh,TX2,123.7629
PPBOGReal,2025-07-21,P1D,COP/kWh,TX2,125.9252
PPBO,2025-07-21,P1D,COP/kWh,TXR,128.3684
PPBOGReal,2025-07-21,P1D,COP/kWh,TXR,130.5309
PPBOGReal,2025-07-22,P1D,COP/kWh,TX2,161.9806
PPBO,2025-07-22,P1D,COP/kWh,TX2,153.8265
PPBOGReal,2025-07-22,P1D,COP/kWh,TXR,166.4721
PPBO,2025-07-22,P1D,COP/kWh,TXR,158.317
PPBO,2025-07-23,P1D,COP/kWh,TXR,160.214
PPBOGReal,2025-07-23,P1D,COP/kWh,TXR,169.1233
PPBO,2025-07-23,P1D,COP/kWh,TX2,151.1361
PPBOGReal,2025-07-23,P1D,COP/kWh,TX2,158.9831
PPBOGReal,2025-07-24,P1D,COP/kWh,TX1,168.0591
PPBO,2025-07-24,P1D,COP/kWh,TXR,166.6566
PPBOGReal,2025-07-24,P1D,COP/kWh,TX2,167.9199
PPBOGReal,2025-07-24,P1D,COP/kWh,TXR,172.5198
PPBO,2025-07-24,P1D,COP/kWh,TX2,162.0569
PPBO,2025-07-25,P1D,COP/kWh,TXR,130.6162
PPBOGReal,2025-07-25,P1D,COP/kWh,TXR,131.9761
PPBOGReal,2025-07-25,P1D,COP/kWh,TX1,127.4665
PPBO,2025-07-25,P1D,COP/kWh,TX2,126.1002
PPBOGReal,2025-07-25,P1D,COP/kWh,TX2,127.4604
PPBO,2025-07-26,P1D,COP/kWh,TX2,117.9834
PPBOGReal,2025-07-26,P1D,COP/kWh,TX2,118.1776
PPBO,2025-07-26,P1D,COP/kWh,TXR,122.4969
PPBOGReal,2025-07-26,P1D,COP/kWh,TXR,122.6907
PPBOGReal,2025-07-26,P1D,COP/kWh,TX1,118.1458
PPBOGReal,2025-07-27,P1D,COP/kWh,TX1,105.2154
PPBO,2025-07-27,P1D,COP/kWh,TX2,104.9968
PPBOGReal,2025-07-27,P1D,COP/kWh,TX2,105.1572
PPBO,2025-07-27,P1D,COP/kWh,TXR,109.5292
PPBOGReal,2025-07-27,P1D,COP/kWh,TXR,109.6949
PPBOGReal,2025-07-28,P1D,COP/kWh,TX1,148.5951
PPBO,2025-07-28,P1D,COP/kWh,TXR,150.1155
PPBOGReal,2025-07-28,P1D,COP/kWh,TX2,149.9561
PPBO,2025-07-28,P1D,COP/kWh,TX2,145.634
PPBOGReal,2025-07-28,P1D,COP/kWh,TXR,154.3233
PPBOGReal,2025-07-29,P1D,COP/kWh,TX2,130.8198
PPBO,2025-07-29,P1D,COP/kWh,TX2,127.2602
PPBOGReal,2025-07-29,P1D,COP/kWh,TXR,135.4302
PPBO,2025-07-29,P1D,COP/kWh,TXR,131.8605
PPBOGReal,2025-07-29,P1D,COP/kWh,TX1,130.4955
PPBOGReal,2025-07-30,P1D,COP/kWh,TX1,155.4646
PPBOGReal,2025-07-30,P1D,COP/kWh,TXR,190.4912
PPBO,2025-07-30,P1D,COP/kWh,TXR,176.1714
PPBOGReal,2025-07-30,P1D,COP/kWh,TX2,185.7803
PPBO,2025-07-30,P1D,COP/kWh,TX2,171.459
PPBOGReal,2025-07-31,P1D,COP/kWh,TX1,185.2583
PPBO,2025-07-31,P1D,COP/kWh,TX2,171.491
PPBOGReal,2025-07-31,P1D,COP/kWh,TX2,185.1411
PPBO,2025-07-31,P1D,COP/kWh,TXR,176.0983
PPBOGReal,2025-07-31,P1D,COP/kWh,TXR,189.7448
PPBO,2025-08-01,P1D,COP/kWh,TX2,174.0456
PPBOGReal,2025-08-01,P1D,COP/kWh,TX2,196.374
PPBOGReal,2025-08-01,P1D,COP/kWh,TX1,196.3915
PPBO,2025-08-02,P1D,COP/kWh,TX2,128.1693
PPBOGReal,2025-08-02,P1D,COP/kWh,TX2,130.372
PPBOGReal,2025-08-02,P1D,COP/kWh,TX1,130.3656
PPBO,2025-08-03,P1D,COP/kWh,TX2,108.741
PPBOGReal,2025-08-03,P1D,COP/kWh,TX2,110.5026
PPBOGReal,2025-08-03,P1D,COP/kWh,TX1,111.0115
PPBOGReal,2025-08-04,P1D,COP/kWh,TX1,165.325
PPBOGReal,2025-08-05,P1D,COP/kWh,TX1,220.7016
